"Statistic Label","Month","Time Bands","UNIT","VALUE"
"Renewable electricity generation percentage","2020 January","00:00  <  00:30","%","54"
"Renewable electricity generation percentage","2020 January","00:30  <  01:00","%","55"
"Renewable electricity generation percentage","2020 January","01:00  <  01:30","%","56"
"Renewable electricity generation percentage","2020 January","01:30  <  02:00","%","56"
"Renewable electricity generation percentage","2020 January","02:00  <  02:30","%","56"
"Renewable electricity generation percentage","2020 January","02:30  <  03:00","%","56"
"Renewable electricity generation percentage","2020 January","03:00  <  03:30","%","56"
"Renewable electricity generation percentage","2020 January","03:30  <  04:00","%","55"
"Renewable electricity generation percentage","2020 January","04:00  <  04:30","%","55"
"Renewable electricity generation percentage","2020 January","04:30  <  05:00","%","54"
"Renewable electricity generation percentage","2020 January","05:00  <  05:30","%","53"
"Renewable electricity generation percentage","2020 January","05:30  <  06:00","%","53"
"Renewable electricity generation percentage","2020 January","06:00  <  06:30","%","51"
"Renewable electricity generation percentage","2020 January","06:30  <  07:00","%","50"
"Renewable electricity generation percentage","2020 January","07:00  <  07:30","%","49"
"Renewable electricity generation percentage","2020 January","07:30  <  08:00","%","47"
"Renewable electricity generation percentage","2020 January","08:00  <  08:30","%","47"
"Renewable electricity generation percentage","2020 January","08:30  <  09:00","%","47"
"Renewable electricity generation percentage","2020 January","09:00  <  09:30","%","46"
"Renewable electricity generation percentage","2020 January","09:30  <  10:00","%","46"
"Renewable electricity generation percentage","2020 January","10:00  <  10:30","%","46"
"Renewable electricity generation percentage","2020 January","10:30  <  11:00","%","45"
"Renewable electricity generation percentage","2020 January","11:00  <  11:30","%","45"
"Renewable electricity generation percentage","2020 January","11:30  <  12:00","%","45"
"Renewable electricity generation percentage","2020 January","12:00  <  12:30","%","45"
"Renewable electricity generation percentage","2020 January","12:30  <  13:00","%","46"
"Renewable electricity generation percentage","2020 January","13:00  <  13:30","%","46"
"Renewable electricity generation percentage","2020 January","13:30  <  14:00","%","47"
"Renewable electricity generation percentage","2020 January","14:00  <  14:30","%","46"
"Renewable electricity generation percentage","2020 January","14:30  <  15:00","%","47"
"Renewable electricity generation percentage","2020 January","15:00  <  15:30","%","46"
"Renewable electricity generation percentage","2020 January","15:30  <  16:00","%","45"
"Renewable electricity generation percentage","2020 January","16:00  <  16:30","%","46"
"Renewable electricity generation percentage","2020 January","16:30  <  17:00","%","44"
"Renewable electricity generation percentage","2020 January","17:00  <  17:30","%","43"
"Renewable electricity generation percentage","2020 January","17:30  <  18:00","%","43"
"Renewable electricity generation percentage","2020 January","18:00  <  18:30","%","44"
"Renewable electricity generation percentage","2020 January","18:30  <  19:00","%","45"
"Renewable electricity generation percentage","2020 January","19:00  <  19:30","%","46"
"Renewable electricity generation percentage","2020 January","19:30  <  20:00","%","47"
"Renewable electricity generation percentage","2020 January","20:00  <  20:30","%","47"
"Renewable electricity generation percentage","2020 January","20:30  <  21:00","%","49"
"Renewable electricity generation percentage","2020 January","21:00  <  21:30","%","50"
"Renewable electricity generation percentage","2020 January","21:30  <  22:00","%","52"
"Renewable electricity generation percentage","2020 January","22:00  <  22:30","%","53"
"Renewable electricity generation percentage","2020 January","22:30  <  23:00","%","54"
"Renewable electricity generation percentage","2020 January","23:00  <  23:30","%","54"
"Renewable electricity generation percentage","2020 January","23:30  <  00:00","%","55"
"Renewable electricity generation percentage","2020 February","00:00  <  00:30","%","64"
"Renewable electricity generation percentage","2020 February","00:30  <  01:00","%","64"
"Renewable electricity generation percentage","2020 February","01:00  <  01:30","%","64"
"Renewable electricity generation percentage","2020 February","01:30  <  02:00","%","64"
"Renewable electricity generation percentage","2020 February","02:00  <  02:30","%","64"
"Renewable electricity generation percentage","2020 February","02:30  <  03:00","%","63"
"Renewable electricity generation percentage","2020 February","03:00  <  03:30","%","64"
"Renewable electricity generation percentage","2020 February","03:30  <  04:00","%","64"
"Renewable electricity generation percentage","2020 February","04:00  <  04:30","%","63"
"Renewable electricity generation percentage","2020 February","04:30  <  05:00","%","63"
"Renewable electricity generation percentage","2020 February","05:00  <  05:30","%","63"
"Renewable electricity generation percentage","2020 February","05:30  <  06:00","%","63"
"Renewable electricity generation percentage","2020 February","06:00  <  06:30","%","62"
"Renewable electricity generation percentage","2020 February","06:30  <  07:00","%","62"
"Renewable electricity generation percentage","2020 February","07:00  <  07:30","%","61"
"Renewable electricity generation percentage","2020 February","07:30  <  08:00","%","60"
"Renewable electricity generation percentage","2020 February","08:00  <  08:30","%","60"
"Renewable electricity generation percentage","2020 February","08:30  <  09:00","%","59"
"Renewable electricity generation percentage","2020 February","09:00  <  09:30","%","59"
"Renewable electricity generation percentage","2020 February","09:30  <  10:00","%","58"
"Renewable electricity generation percentage","2020 February","10:00  <  10:30","%","58"
"Renewable electricity generation percentage","2020 February","10:30  <  11:00","%","59"
"Renewable electricity generation percentage","2020 February","11:00  <  11:30","%","59"
"Renewable electricity generation percentage","2020 February","11:30  <  12:00","%","60"
"Renewable electricity generation percentage","2020 February","12:00  <  12:30","%","61"
"Renewable electricity generation percentage","2020 February","12:30  <  13:00","%","61"
"Renewable electricity generation percentage","2020 February","13:00  <  13:30","%","61"
"Renewable electricity generation percentage","2020 February","13:30  <  14:00","%","61"
"Renewable electricity generation percentage","2020 February","14:00  <  14:30","%","61"
"Renewable electricity generation percentage","2020 February","14:30  <  15:00","%","60"
"Renewable electricity generation percentage","2020 February","15:00  <  15:30","%","59"
"Renewable electricity generation percentage","2020 February","15:30  <  16:00","%","58"
"Renewable electricity generation percentage","2020 February","16:00  <  16:30","%","57"
"Renewable electricity generation percentage","2020 February","16:30  <  17:00","%","55"
"Renewable electricity generation percentage","2020 February","17:00  <  17:30","%","53"
"Renewable electricity generation percentage","2020 February","17:30  <  18:00","%","51"
"Renewable electricity generation percentage","2020 February","18:00  <  18:30","%","51"
"Renewable electricity generation percentage","2020 February","18:30  <  19:00","%","51"
"Renewable electricity generation percentage","2020 February","19:00  <  19:30","%","52"
"Renewable electricity generation percentage","2020 February","19:30  <  20:00","%","53"
"Renewable electricity generation percentage","2020 February","20:00  <  20:30","%","54"
"Renewable electricity generation percentage","2020 February","20:30  <  21:00","%","55"
"Renewable electricity generation percentage","2020 February","21:00  <  21:30","%","57"
"Renewable electricity generation percentage","2020 February","21:30  <  22:00","%","59"
"Renewable electricity generation percentage","2020 February","22:00  <  22:30","%","61"
"Renewable electricity generation percentage","2020 February","22:30  <  23:00","%","62"
"Renewable electricity generation percentage","2020 February","23:00  <  23:30","%","63"
"Renewable electricity generation percentage","2020 February","23:30  <  00:00","%","64"
"Renewable electricity generation percentage","2020 March","00:00  <  00:30","%","54"
"Renewable electricity generation percentage","2020 March","00:30  <  01:00","%","54"
"Renewable electricity generation percentage","2020 March","01:00  <  01:30","%","54"
"Renewable electricity generation percentage","2020 March","01:30  <  02:00","%","54"
"Renewable electricity generation percentage","2020 March","02:00  <  02:30","%","55"
"Renewable electricity generation percentage","2020 March","02:30  <  03:00","%","55"
"Renewable electricity generation percentage","2020 March","03:00  <  03:30","%","55"
"Renewable electricity generation percentage","2020 March","03:30  <  04:00","%","55"
"Renewable electricity generation percentage","2020 March","04:00  <  04:30","%","55"
"Renewable electricity generation percentage","2020 March","04:30  <  05:00","%","54"
"Renewable electricity generation percentage","2020 March","05:00  <  05:30","%","52"
"Renewable electricity generation percentage","2020 March","05:30  <  06:00","%","51"
"Renewable electricity generation percentage","2020 March","06:00  <  06:30","%","50"
"Renewable electricity generation percentage","2020 March","06:30  <  07:00","%","49"
"Renewable electricity generation percentage","2020 March","07:00  <  07:30","%","48"
"Renewable electricity generation percentage","2020 March","07:30  <  08:00","%","47"
"Renewable electricity generation percentage","2020 March","08:00  <  08:30","%","46"
"Renewable electricity generation percentage","2020 March","08:30  <  09:00","%","46"
"Renewable electricity generation percentage","2020 March","09:00  <  09:30","%","47"
"Renewable electricity generation percentage","2020 March","09:30  <  10:00","%","47"
"Renewable electricity generation percentage","2020 March","10:00  <  10:30","%","49"
"Renewable electricity generation percentage","2020 March","10:30  <  11:00","%","51"
"Renewable electricity generation percentage","2020 March","11:00  <  11:30","%","52"
"Renewable electricity generation percentage","2020 March","11:30  <  12:00","%","52"
"Renewable electricity generation percentage","2020 March","12:00  <  12:30","%","52"
"Renewable electricity generation percentage","2020 March","12:30  <  13:00","%","53"
"Renewable electricity generation percentage","2020 March","13:00  <  13:30","%","53"
