Iterations,Soil humidity,Water level,Flood status
4,0,0,None
5,0,0,None
6,0,0,None
7,0,0,None
8,0,0,None
9,0,0,None
10,0,0,None
11,0,0,None
12,0,0,None
13,0,0,None
14,0,0,None
15,0,0,None
16,0,0,None
17,0,0,None
18,0,0,None
19,0,0,None
20,0,0,None
21,0,0,None
22,0,0,None
23,0,0,None
24,0,0,None
25,0,0,None
26,0,0,None
27,0,0,None
28,0,0,None
29,0,0,None
30,0,0,None
31,0,0,None
32,0,0,None
33,0,0,None
0,0,0,Simulation
1,10,10,Simulation
2,20,20,Simulation
3,30,30,Simulation
4,40,40,Simulation
5,50,50,Simulation
6,60,60,Simulation
7,70,70,Simulation
8,80,80,Simulation
9,90,90,Simulation
10,100,100,Simulation
11,90,90,Simulation
12,80,80,Simulation
13,70,70,Simulation
14,60,60,Simulation
15,50,50,Simulation
16,40,40,Simulation
17,30,30,Simulation
18,20,20,Simulation
19,10,10,Simulation
54,0,0,None
55,0,0,None
56,0,0,None
57,0,0,None
58,0,0,None
59,0,0,None
60,0,0,None
61,0,0,None
62,0,0,None
63,0,0,None
64,0,0,None
65,0,0,None
66,0,0,None
67,0,0,None
68,0,0,None
69,0,0,None
70,0,0,None
71,0,0,None
72,0,0,None
73,0,0,None
74,0,0,None
75,0,0,None
76,0,0,None
77,0,0,None
78,0,0,None
79,0,0,None
80,0,0,None
81,0,0,None
82,0,0,None
83,0,0,None
84,0,0,None
85,0,0,None
86,0,0,None
87,0,0,None
88,0,0,None
89,0,0,None
90,0,0,None
91,0,0,None
92,0,0,None
93,0,0,None
94,0,0,None
95,0,0,None
96,0,0,None
97,0,0,None
98,0,0,None
99,0,0,None
100,0,0,None
101,0,0,None
102,0,0,None
103,0,0,None
104,0,0,None
105,0,0,None
106,0,0,None
107,0,0,None
108,0,0,None
109,0,0,None
110,0,0,None
111,0,0,None
112,0,0,None
113,0,0,None
114,0,0,None
115,0,0,None
116,0,0,None
117,0,0,None
118,0,0,None
119,0,0,None
120,0,0,None
121,0,0,None
122,0,0,None
123,0,0,None
124,0,0,None
125,0,0,None
126,0,0,None
127,0,0,None
128,0,0,None
129,0,0,None
130,0,0,None
131,0,0,None
132,0,0,None
133,0,0,None
134,0,0,None
135,0,0,None
136,0,0,None
137,0,0,None
138,0,0,None
139,0,0,None
140,0,0,None
141,0,0,None
142,0,0,None
143,0,0,None
144,0,0,None
145,0,0,None
146,0,0,None
147,0,0,None
148,0,0,None
149,0,0,None
150,0,0,None
151,0,0,None
152,0,0,None
153,1,0,None
154,60,0,None
155,33,0,None
156,66,0,None
157,0,0,None
158,23,0,None
159,0,3,None
160,53,52,None
161,62,59,None
162,74,61,Risk
163,0,62,None
164,58,62,None
165,65,62,None
166,67,63,None
167,66,64,None
168,66,64,None
169,65,62,None
170,65,65,None
171,65,67,None
172,65,69,None
173,65,71,None
174,64,72,None
175,65,72,None
176,64,73,None
177,64,72,None
178,62,73,None
179,0,73,None
180,41,73,None
181,60,73,None
182,64,73,None
183,64,74,None
184,65,74,None
185,66,74,None
186,48,74,None
187,59,74,None
188,67,74,None
189,62,74,None
190,62,74,None
191,59,75,None
192,0,75,None
193,0,74,None
194,32,74,None
195,52,74,None
196,56,75,None
197,1,74,None
198,69,74,None
199,70,74,Risk
200,69,75,None
201,69,75,None
202,69,74,None
203,69,74,None
204,68,74,None
205,70,74,Risk
206,69,74,None
207,69,74,None
208,69,74,None
209,69,74,None
210,69,73,None
211,69,73,None
212,62,73,None
213,0,73,None
214,0,4,None
215,0,0,None
216,0,0,None
217,0,0,None
218,0,0,None
219,0,0,None
220,0,0,None
221,0,0,None
222,0,0,None
223,0,0,None
224,0,0,None
225,0,0,None
226,0,0,None
227,0,0,None
228,0,0,None
229,0,0,None
230,0,0,None
231,0,0,None
232,0,0,None
233,0,0,None
234,0,0,None
235,0,0,None
236,0,0,None
237,0,0,None
238,0,0,None
239,0,0,None
240,0,0,None
241,0,0,None
242,0,0,None
243,0,0,None
244,0,0,None
245,0,0,None
246,0,0,None
247,0,0,None
248,0,0,None
249,0,0,None
250,0,0,None
251,0,0,None
252,0,0,None
253,0,0,None
254,0,0,None
255,0,0,None
256,0,0,None
